speciesType,tissueType,cellName,geneSymbol
Mouse,Bone marrow,Plasmacytoid dendritic cell,"Tlr7,Tlr9,Bst2,Ptprc,Tcf4,Irf8,Siglech,Mcemp1,Cox14,,Pagr1a,Efcab14,Babam1,Acp5,Uqcc3,Akr1a1,Alas1,Ankrd13a,Ano6,Arl6ip4,Atox1,Atp2a3,Atp5c1,Atp5j2,Dmac2,Atpif1,Avpi1,Dst,C1qa,C1qc,Capns1,Cd68,Cd74,Cdc42ep3,Chchd3,Coro1b,Coro7,Cstb,Rsrp1,Djb9,Ehbp1l1,Eif3f,Eif4ebp1,Elof1,Exoc2,Fam173a,Fam32a,Tpgs1,Gm5617,Gngt2,Gpx4,Gusb,H2-Aa,H2-Ab1,H2-Eb1,Haao,Haus8,Hint1,Hsd17b10,Idh2,Ifi30,Il10rb,Il12b,Inpp4a,Ip6k1,Itgax,Itm2b,Lamp1,Map1lc3b,Mcm6,Mdh2,Mrpl34,Ms4a7,Ncor1,Ndufa10,Ndufa9,Ndufb8,Neurl3,Nudt3,P4hb,Pip5k1c,Pisd,Pkn1,Pkp3,Plaur,Plod3,Plxnb2,Plxnd1,Ppp1r12c,Pqlc1,Psen2,Psmc4,Ptcd2,Pycr2,Qdpr,Rasa3,Rbbp7,Rbm25,Rogdi,Rplp0,Rplp1,Rps20,Rxra,Sae1,Scamp4,Senp6,Slc8b1,Slc29a3,Slc43a2,Slc44a2,Slc9a3r1,Snrpd3,Snrpf,Spns3,Srp14,Ssrp1,Syf2,Tfeb,Tmem176a,Tmem176b,Tspan14,Ube2j1,Usp48,Vac14,Bud23,Wdr89,Ywhah,Zbtb7a,Zcchc24,Zeb2,Siglech,Bst2,Ly6d"
Mouse,Bone marrow,Polymorphonuclear neutrophil,Ly6g
Mouse,Bone marrow,Pre-haematopoietic stem cell,"Kit,Procr,Pecam1,Itga2b,Ptprc,Cd47,,2410004N09Rik,9030617O03Rik,Ablim1,Acot11,Akr1c14,Angpt1,Ank,Anpep,Art4,Bcl11a,Bmx,Calcrl,Camsap3,Car2,Cd27,Chad,Clu,Crebrf,Ctnl1,Cyp26b1,Dh11,Dnmt3b,Efcc1,Eya2,Fam120c,Fam181b,Fam84b,Fgfr3,Gabarapl1,Gck,Gcnt2,Gfi1,Grasp,Hif3a,Hlf,Ikzf2,Irf2,Itgb3,Kcnn4,Lama5,Lgals3bp,Mamdc2,Marveld1,Mctp1,Meis1,Mfsd6,Mllt3,Mpl,Msi2,Mycn,Neurl3,Nfix,Nkx2-3,Nrgn,Ocln,Olfr632,Pdcd4,Pde9a,Pdlim1,Pdzk1ip1,Pglyrp2,Pik3c2b,Ptgis,Rab38,Rps6ka5,Selp,Serpi3g,Serpinb6b,Serpinf1,Setbp1,Slc18a2,Slc22a4,Slc25a23,Slc26a11,Slco3a1,Spns2,St3gal1,Stat4,Tal1,Tbkbp1,Timp2,Tmem176b,Tmem246,Tmem26,Trim47,Trim6,Vdr,Vipr1,Vipr2,Vwf,Wdfy1,Xk"
Mouse,Bone marrow,Pre-megakaryocyte-erythroid progenitor cell,"Kit,Slamf1,Cd34,,Ly6a"
Mouse,Bone marrow,Progenitor cell,"Msra,Alcam,Prom1,Pvalb,Myf5,Pax7,Cd34,,Nes,Bmi1,Krt19,Sox9,Prom1,Krt19,nog,Kit,Thy1,Twf1,Itga2b,Krt14,Krt17,Krt5,Tcp1,Cd24a,Itga6,Ly6a,Ly6a,Ascl1,Slamf1,Cd34,Cd48,Flt3"
Mouse,Bone marrow,Red blood cell (erythrocyte),"Itga2b,Ly76,Ly76,Cd24a,Ptprc,Itgav,Itgb3,Car1,Hba-a2,Hbb-bs,Car2,Cited4,Gata1,Gata2,Gfi1b,Klf1,Phf10,Zfpm1,Clec4d,Mfsd2b,Nfia,Slc45a3"
Mouse,Bone marrow,Stage I neutrophil,"Wfdc21,1110008P14Rik,,1810055G02Rik,6430548M08Rik,AB124611,Abca13,Abhd5,Acsl1,Actn1,Adpgk,Agap1,Aldh3b1,Alox5,Ampd3,Anxa1,Arap3,Arid3a,Arrb2,B430306N03Rik,BC049730,C1rl,C5ar1,Camp,Card10,Ccno,Cd177,Cd300lf,Cd9,Ceacam1,Ceacam10,Cebpe,Chac1,Chit1,Cib2,Ckap4,Clec4a2,Clec5a,Cpeb4,Cpne3,Crispld2,Cxcr2,Cyba,Cybb,Dach1,Dgat1,Dgat2,Dhrs7,Dock5,Dstn,E2f2,Ets1,F5,Fam160a2,Fcnb,Ffar2,Fgr,Flot2,Fmo5,G0s2,G6pdx,Gca,Gda,Glipr2,Gm4763,Golim4,Gp1bb,Gpr84,Gpsm3,Gsn,Hck,Hp,Hsd11b1,Id1,Ifitm6,Igf2r,Igsf6,Il1r2,Itgam,Itgb2,Itgb2l,Jdp2,Klf5,Lcn2,Lilr4b,Lima1,Lin28a,Lmo4,Lpcat2,Lrg1,Lrrk2,Ltb4r1,Ltf,Ly75,Lyz1,Lyz2,Map3k9,Mapk13,Mgll,Mgst1,Mgst2,Mmp25,Mmp9,Mocos,Mogat2,Mrgpra2b,Mxd1,Ncam1,Ncf1,Ncf4,Ngp,Nhsl2,Nudt4,Olfml2b,Optn,Orm1,Padi4,Pde2a,Pfkfb4,Pglyrp1,Pi16,Pilra,Pilrb1,Pilrb2,Pirb,Plaur,Plbd1,Plscr1,Pram1,Prdx5,Prkcb,Pstpip2,Ptgir,Ptgs1,Pygl,Rasgrp4,Retnlg,Rhou,S100a11,S100a8,S100a9,Serpinb1a,Serpinb1c,Sh3bp5,Siglece,Slc22a15,Slc25a24,Slc40a1,Slc6a12,Slco4c1,Slfn1,Slfn2,Slfn4,Sorl1,St3gal5,Stk39,Syne1,Syne2,Tesc,Tigl1,Tmc8,Tmem154,Tmem2,Tmem216,Tnfsf13b,Tnnt1,Trem1,Trem3,Trp53inp2,Vasp,Vcl,Wipi1,Xdh,Zbtb7b,Zfp414,Zmpste24"
Mouse,Bone marrow,Stage II neutrophil,"2010005H15Rik,2810474O19Rik,,Arg2,Arrdc3,Banf1,Btg1,C130050O18Rik,Ccdc126,Ccl6,Cd101,Cd300a,Cd300lb,Cd300ld,Clec4d,Clec7a,Copa,Creg1,Csf3r,Dck,Ddx60,Dusp1,Ecd,Fbxo31,Fgl2,Fndc3b,Fxyd5,Gm5150,Gm5483,H2-Q10,Hip1,Hist1h2bc,Hist2h3c1,Ier5,Ifi204,Ifi27l2a,Ifit1,Ifit3,Ifitm1,Ikbkap,Il1b,Il1f9,Il1rn,Irf7,Isg15,Junb,Klc4,Ldb1,Marcks,Mat2a,Mpeg1,Ndrg1,Ninj1,Nlrp12,Nup37,Oasl1,Oasl2,Picalm,Pla2g7,Pnpla3,Pprc1,Pttg1,Rara,Rchy1,Rfwd3,Rgs2,Rnf149,Rsad2,Rtp4,Sar1b,Scnn1a,Scyl2,Selenof,Selplg,Sfxn5,Sirpb1a,Sirpb1b,Slc25a33,Slc2a6,Slfn5,Smarca2,Smox,Snx1,Srgn,St3gal6,Steap4,Stfa1,Stfa2l1,Stk17b,Stk40,Tbc1d15,Tgfbi,Tgm3,Tmem38a,Tpd52,Trim30a,Trim30b,Trim30d,Tspan13,Ttc7,Txnip,Uap1l1,Usp32,Vnn3,Wbp11,Zfp292,Zfp36l2"
Mouse,Bone marrow,Stem cell,"Msra,Lgr5,Pdx1,Cd44,Lgr5,Msi1,Kit,Prom1,Cd24a,Itga6,Ly6a,Nes,Eng,Myc,Cd44,Fgfr3,Itgb3,Itgb1,Itga5,Ly6a,Epcam,Pou5f1,Thy1,Afp,nog,Isl1,nog,Sox2,Cd24a,Cd34,Sox9,Tcf4,Krt15,Cd34,Sdc1,Slc3a2,Smim6,4931406C07Rik,Acot1,,Aldoc,Arxes2,Basp1,Bgn,Car2,Cd27,Cd274,Cd74,Cd81,Cdhr4,Cish,Clip3,Dapp1,Dkkl1,Fchsd2,Gabarapl1,Gcnt2,Gimap1,Gimap6,Gm12185,H2-K1,H2-T10,H2-T22,H2-T23,H2-T9,Hlf,Hoxb2,Ifitm1,Ifitm2,Ifitm3,Krt18,Ldhb,Lhcgr,Lmo2,Lst1,Mecom,Mllt3,Mpl,Msi2,Mycn,Myct1,Myl10,Nfe2,Oasl2,Osbpl1a,Pcp4l1,Pde4b,Pdzk1ip1,Pglyrp2,Pla2g16,Pnrc1,Procr,Ptpn18,Ptprcap,Rbp1,Rbpms,Rbpms2,Rgs1,Rtp4,Serpi3f,Serpi3g,Shisa5,Srgn,Stxbp4,Tbxas1,Tgtp2,Tmem176a,Tmem176b,Tnip3,Txnip,Uba7,Ube2l6,Wfdc2,Whamm,Zfand5,Zfp608,Zfp831"
Mouse,Bone marrow,T cell,"Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cd8a,,Cd2,Cd4,Cd5,Sell,Gstm1,Thy1,Thy1,Cd44,Sell,Cd69,Pdcd1,Ccr10,Itgae,Kit,Ifngr1,Itgax,Il2rb,Il6ra,Il7r,Pdgfra,Pdgfrb,Slamf1,Cd40lg,Cd160,Klrb1b,Klrb1c,Fasl,Cxcr3,Cxcr4,Cxcr5,Ccr3,Ccr4,Ccr5,Ccr6,Cd1d1,Cd2,Cd200,Il12rb1,Il18r1,Cd24a,Il2ra,Ptgdr2,Cd3d,Pecam1,Cd34,Cr2,Tnfrsf18,Cd38,Entpd1,Cd40,Spn,Cd44,Ptprc,Itga2,Itgav,B3gat1,Itgb3,TFRC,Nt5e,Cd80,Cd84,Plaur,Klrd1,Cd96,Ccr8,Cx3cr1,Flt3,Foxp3,Il1r1,Il1r2,Il1r1,Il1r2,Il21r,Il9,Zbtb16,Rorc,Ly6a,Cd3e,Bcl11b,Cxcr6,Fam189b,Gimap3,Itk,Lef1,Ltb,Rapgef6,Rasgrp1,Rpl12,Rplp1,Rps16,Rps23,Rps4x,Satb1,Socs2,Tpt1"
